onehotencoder__x0_day,onehotencoder__x0_days,onehotencoder__x0_hour,onehotencoder__x0_hours,onehotencoder__x1_Barajas,onehotencoder__x1_Carabanchel,onehotencoder__x1_Centro,onehotencoder__x1_Chamartin,onehotencoder__x1_Chamberi,onehotencoder__x1_CiudadLineal,onehotencoder__x1_Fuencarral,onehotencoder__x1_Hortaleza,onehotencoder__x1_Latina,onehotencoder__x1_Moncloa,onehotencoder__x1_Moratalaz,onehotencoder__x1_PuenteVallecas,onehotencoder__x1_Retiro,onehotencoder__x1_Salamanca,onehotencoder__x1_SanBlas,onehotencoder__x1_Tetuan,onehotencoder__x1_Usera,onehotencoder__x1_Vicalvaro,onehotencoder__x1_VillaVallecas,onehotencoder__x1_Villaverde,onehotencoder__x2_BedAndBreakfast,onehotencoder__x2_Condominium,onehotencoder__x2_House,onehotencoder__x2_Loft,onehotencoder__x2_Other,onehotencoder__x3_moderate,onehotencoder__x3_strict,Host Response Rate,Host Listings Count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Availability 30,Availability 365,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Reviews per Month,is_EntireHome,is_Bed
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,40.41085393918086,-3.70109925847529,3.0,1.0,0.0,60.0,0.0,0.0,1.0,0.0,2.0,3.0,6.0,100.0,10.0,8.0,10.0,10.0,10.0,10.0,0.3,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,40.40812372278415,-3.710367456487857,2.0,1.0,0.0,45.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,87.0,9.0,8.0,10.0,10.0,10.0,9.0,2.95,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,3.0,40.40608534102548,-3.704212674856171,2.0,1.0,1.0,40.0,0.0,5.0,1.0,0.0,2.0,17.0,77.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0.56,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,40.40798451483423,-3.706401599902711,2.0,1.0,1.0,28.0,150.0,10.0,1.0,15.0,2.0,26.0,361.0,87.0,9.0,7.0,8.0,9.0,8.0,8.0,0.76,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,40.407535732355946,-3.69511800115592,2.0,1.0,1.0,40.0,100.0,10.0,1.0,0.0,2.0,13.0,186.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3.49,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,4.0,40.41314383662625,-3.705092181082821,6.0,1.0,2.0,120.0,150.0,40.0,6.0,30.0,2.0,6.0,306.0,100.0,8.0,6.0,8.0,8.0,10.0,8.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,20.0,40.409879727360206,-3.702840229810652,4.0,1.0,0.0,50.0,0.0,20.0,2.0,8.0,3.0,7.0,331.0,86.0,9.0,10.0,9.0,9.0,9.0,9.0,0.94,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.407754805653774,-3.703964809427938,4.0,1.5,1.0,27.0,0.0,5.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,3.0,40.40847055747343,-3.7088732860316873,2.0,1.0,1.0,63.0,0.0,0.0,1.0,0.0,3.0,0.0,51.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.25,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,40.41049832378156,-3.698387657623745,7.0,2.0,3.0,160.0,500.0,90.0,1.0,0.0,3.0,4.0,284.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.5,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,40.41147696872595,-3.70598023623902,4.0,1.0,1.0,70.0,128.0,24.0,2.0,10.0,2.0,9.0,143.0,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1.99,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,40.41014385068157,-3.7005191849486287,4.0,1.0,2.0,49.0,0.0,20.0,1.0,0.0,2.0,5.0,288.0,81.0,9.0,8.0,9.0,9.0,9.0,8.0,3.43,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,8.0,40.41035914847885,-3.7067968458169855,2.0,1.0,1.0,43.0,0.0,0.0,1.0,0.0,1.0,24.0,342.0,80.0,8.0,8.0,8.0,8.0,9.0,7.0,0.28,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0,4.0,40.40687563641772,-3.698083312962682,7.0,1.0,3.0,125.0,150.0,25.0,1.0,0.0,3.0,7.0,221.0,97.0,9.0,9.0,10.0,10.0,10.0,9.0,0.77,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,40.411351075392105,-3.6985918072996498,8.0,3.0,3.0,210.0,200.0,80.0,6.0,20.0,3.0,9.0,64.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3.7,1.0,1.0
