Host Listings Count,Neighbourhood Group Cleansed,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy,Calculated host listings count,Reviews per Month,Name_Len,Name_Lang,Summary_Len,Summary_Lang,Space_Len,Space_Lang,Description_Len,Description_Lang,is_Thumbnail,is_HostAbout,is_ResponseInHours,Num_Host_Verifications,is_EntireHome,is_Bed,is_UpdatedToday
3.0,Centro,40.40847055747343,-3.7088732860316873,Apartment,EntireHome,2,1.0,1.0,1.0,63.0,,,1,0,3,0,5,27,51,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,3.0,1.25,47,False,215,False,0,False,215,False,True,True,True,4,True,True,True
1.0,Centro,40.41049832378156,-3.698387657623745,Apartment,EntireHome,7,2.0,3.0,5.0,160.0,500.0,90.0,1,0,3,4,13,29,284,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,1.0,2.5,49,True,333,True,333,True,1000,True,True,True,True,3,True,True,False
1.0,Centro,40.41147696872595,-3.70598023623902,Apartment,EntireHome,4,1.0,1.0,1.0,70.0,128.0,24.0,2,10,2,9,26,52,143,11,93.0,10.0,10.0,10.0,10.0,10.0,9.0,flexible,1.0,1.99,50,False,459,True,459,True,1000,True,True,True,True,2,True,True,True
1.0,Centro,40.41014385068157,-3.7005191849486287,Apartment,EntireHome,4,1.0,2.0,4.0,49.0,,20.0,1,0,2,5,15,21,288,124,81.0,9.0,8.0,9.0,9.0,9.0,8.0,strict,1.0,3.43,29,True,63,False,0,False,63,False,True,True,True,4,True,True,False
8.0,Centro,40.41035914847885,-3.7067968458169855,Other,PrivateRoom,2,1.0,1.0,2.0,43.0,,,1,0,1,24,54,80,342,2,80.0,8.0,8.0,8.0,8.0,9.0,7.0,flexible,8.0,0.28,50,True,453,False,0,False,453,False,True,False,True,3,False,True,True
4.0,Centro,40.40687563641772,-3.698083312962682,Other,EntireHome,7,1.0,3.0,5.0,125.0,150.0,25.0,1,0,3,7,13,22,221,6,97.0,9.0,9.0,10.0,10.0,10.0,9.0,strict,2.0,0.77,26,False,493,False,420,False,999,False,True,False,True,5,True,True,True
1.0,Centro,40.411351075392105,-3.6985918072996498,Apartment,EntireHome,8,3.0,3.0,5.0,210.0,200.0,80.0,6,20,3,9,20,31,64,17,100.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,1.0,3.7,47,True,500,False,1000,False,1000,False,True,True,True,5,True,True,False
2.0,Centro,40.40970911543494,-3.69639984404148,Apartment,EntireHome,2,1.5,1.0,1.0,89.0,200.0,30.0,1,0,1,7,29,59,334,8,94.0,9.0,10.0,10.0,9.0,9.0,9.0,moderate,1.0,0.46,27,False,242,False,48,False,867,False,False,False,False,6,True,True,False
10.0,Centro,40.41267088993981,-3.704507059003129,Apartment,EntireHome,3,1.0,1.0,2.0,75.0,80.0,40.0,2,9,3,1,12,29,71,31,83.0,9.0,8.0,9.0,9.0,10.0,8.0,flexible,10.0,0.73,32,True,499,False,1000,True,1000,True,True,True,True,3,True,True,False
9.0,Centro,40.40670359723186,-3.706114197558969,Apartment,EntireHome,2,1.0,1.0,1.0,59.0,,30.0,1,0,4,6,24,34,289,3,80.0,8.0,8.0,7.0,7.0,9.0,8.0,moderate,9.0,0.22,33,True,0,False,352,True,352,True,False,True,True,4,True,False,False
1.0,Centro,40.40564838324708,-3.7016207877920073,Apartment,EntireHome,1,1.0,1.0,1.0,27.0,450.0,,1,0,7,0,0,0,0,0,,,,,,,,flexible,1.0,,25,False,241,False,0,False,241,False,False,True,False,3,True,True,False
1.0,Centro,40.41080087859927,-3.697922563280776,Apartment,EntireHome,4,1.0,1.0,2.0,42.0,,35.0,2,20,3,9,39,65,340,71,93.0,10.0,9.0,10.0,10.0,10.0,9.0,moderate,1.0,3.64,50,True,499,True,999,True,1000,True,False,True,True,4,True,True,True
